Python||パイソン||1
Github||ギットハブ
Docker||ドッカー
NEMO||ネモ||0
script言語||スクリプトゲンゴ||0
Speaker||スピーカー
raspberry||ラスベリー
raspberry pi||ラスベリーパイ
pico||ピコ
Pico||ピコ
Getting||ゲッティング
Started||スターテッド
Thonny||ソニー
Wifi||ワイファイ
Wi-fi||ワイファイ
AliExpress||アリエクスプレス
Boot||ブート
boot||ブート
Ubuntu||ウブントゥ
Micro||マイクロ
micro||マイクロ
circuit||サーキット
Circuit||サーキット
